('[2024-05-25 13:11:44]', '[4.6632,3.5029,1.6207,4.2093,0.9051,1.5284]', '[-0.0092,-0.0078,-0.0000,-0.0000,-0.0000,-0.0113]', '[0.2002,-0.4648,-0.3080,0.0117,-0.0563,0.0888]')
('[2024-05-25 13:11:45]', '[4.6632,3.5029,1.6207,4.2093,0.9051,1.5284]', '[-0.0092,-0.0078,-0.0000,-0.0000,-0.0000,-0.0113]', '[0.1978,-0.5024,-0.3262,0.0055,-0.0620,0.0917]')
('[2024-05-25 13:11:45]', '[4.6632,3.5029,1.6207,4.2093,0.9051,1.5284]', '[-0.0092,-0.0078,-0.0000,-0.0000,-0.0000,-0.0113]', '[0.2237,-0.4779,-0.3167,0.0148,-0.0584,0.0949]')
('[2024-05-25 13:11:46]', '[4.6599,3.5030,1.6176,4.2121,0.9054,1.5287]', '[-0.0879,-0.0000,-0.0722,0.0733,-0.0000,-0.0000]', '[-0.4858,-0.1831,-0.6056,-0.0024,-0.0013,0.0943]')
('[2024-05-25 13:11:46]', '[4.6549,3.5032,1.6131,4.2159,0.9059,1.5299]', '[-0.0697,0.0076,-0.0568,0.0394,0.0209,0.0277]', '[0.7013,-0.2579,-0.3666,0.0635,-0.0871,0.1143]')
('[2024-05-25 13:11:46]', '[4.6507,3.5045,1.6089,4.2196,0.9082,1.5335]', '[-0.0515,0.0300,-0.0725,0.0760,0.0331,0.0657]', '[-0.3414,-0.0637,-0.6702,0.0650,0.0164,0.0969]')
('[2024-05-25 13:11:46]', '[4.6454,3.5074,1.6025,4.2265,0.9115,1.5397]', '[-0.0934,0.0261,-0.0873,0.0876,0.0448,0.0745]', '[0.3960,-0.0540,-0.7566,0.1016,-0.0603,0.0879]')
('[2024-05-25 13:11:46]', '[4.6254,3.5174,1.5806,4.2457,0.9238,1.5599]', '[-0.1059,0.0386,-0.1221,0.0799,0.0646,0.0975]', '[0.5748,-0.1623,-0.6188,0.0783,-0.0603,0.0766]')
('[2024-05-25 13:11:46]', '[4.6138,3.5223,1.5667,4.2550,0.9306,1.5720]', '[-0.1203,0.0505,-0.1500,0.0678,0.0747,0.1298]', '[-0.1821,-0.4873,-0.4645,-0.0272,0.0111,0.1669]')
('[2024-05-25 13:11:46]', '[4.5990,3.5276,1.5493,4.2632,0.9397,1.5856]', '[-0.1443,0.0397,-0.1942,0.0331,0.0966,0.1422]', '[0.8018,0.3159,-0.6132,0.1209,-0.0876,0.1185]')
('[2024-05-25 13:11:46]', '[4.5836,3.5340,1.5313,4.2671,0.9516,1.6002]', '[-0.2022,0.0760,-0.2115,0.0001,0.1159,0.1750]', '[-0.3136,-0.7930,0.2051,-0.0807,0.0165,0.0391]')
('[2024-05-25 13:11:46]', '[4.5624,3.5408,1.5063,4.2690,0.9669,1.6177]', '[-0.2149,0.0583,-0.2776,-0.0113,0.1674,0.1738]', '[0.3966,0.8779,0.0442,0.0113,-0.1015,0.2167]')
('[2024-05-25 13:11:47]', '[4.5416,3.5484,1.4838,4.2702,0.9821,1.6347]', '[-0.3064,0.1091,-0.2726,-0.0113,0.1632,0.1815]', '[0.1873,-0.3696,-0.6439,0.0076,-0.0293,0.0596]')
('[2024-05-25 13:11:47]', '[4.5162,3.5566,1.4562,4.2692,0.9998,1.6531]', '[-0.3248,0.0836,-0.2995,-0.0802,0.2356,0.2241]', '[0.3389,-0.3945,0.0733,0.0208,0.0795,0.0748]')
('[2024-05-25 13:11:47]', '[4.4850,3.5654,1.4212,4.2631,1.0244,1.6736]', '[-0.3616,0.0913,-0.3628,-0.0902,0.2583,0.2319]', '[0.0676,0.4569,0.3937,-0.0520,-0.0786,0.0851]')
('[2024-05-25 13:11:47]', '[4.4573,3.5736,1.3915,4.2564,1.0448,1.6882]', '[-0.2616,0.0924,-0.3596,-0.0849,0.2431,0.1712]', '[1.2064,-0.8283,0.0259,0.0870,-0.0778,0.0765]')
('[2024-05-25 13:11:47]', '[4.4288,3.5795,1.3613,4.2514,1.0634,1.7007]', '[-0.3429,0.0603,-0.2909,-0.0760,0.2624,0.1276]', '[1.2096,0.0778,-0.2340,-0.0062,-0.0858,0.1685]')
