('[2024-05-25 16:42:28]', '[4.6586,3.4982,1.6201,4.2180,0.9135,1.5232]', '[-0.0000,-0.0078,-0.0078,-0.0113,-0.0113,0.0000]', '[0.5069,-0.4288,-0.1705,0.1173,-0.0590,0.1289]')
('[2024-05-25 16:42:29]', '[4.6586,3.4982,1.6201,4.2180,0.9135,1.5232]', '[-0.0000,-0.0078,-0.0078,-0.0113,-0.0113,0.0000]', '[0.4689,-0.4481,-0.1538,0.1164,-0.0466,0.1193]')
('[2024-05-25 16:42:30]', '[4.6586,3.4982,1.6201,4.2180,0.9135,1.5232]', '[-0.0000,-0.0078,-0.0078,-0.0113,-0.0113,0.0000]', '[0.4683,-0.4514,-0.1542,0.1196,-0.0564,0.1392]')
('[2024-05-25 16:42:30]', '[4.6583,3.4981,1.6182,4.2181,0.9116,1.5256]', '[-0.0183,-0.0078,-0.0596,-0.0000,-0.0631,0.0577]', '[0.3476,-0.2617,-0.3321,0.1688,-0.0111,0.1033]')
('[2024-05-25 16:42:30]', '[4.6548,3.4973,1.6113,4.2188,0.9053,1.5323]', '[-0.0447,-0.0222,-0.0722,0.0104,-0.0655,0.0677]', '[0.3615,-0.9146,-0.1794,0.1371,-0.0127,0.1106]')
('[2024-05-25 16:42:31]', '[4.6414,3.4926,1.5920,4.2286,0.8873,1.5505]', '[-0.1059,-0.0378,-0.1269,0.0490,-0.1072,0.1014]', '[0.1249,-0.6395,-0.5981,0.1488,-0.0098,0.1603]')
('[2024-05-25 16:42:31]', '[4.6298,3.4891,1.5776,4.2367,0.8776,1.5626]', '[-0.1466,-0.0451,-0.1716,0.1049,-0.1329,0.1309]', '[0.2552,-0.5139,-0.2724,0.0813,-0.0724,0.1594]')
('[2024-05-25 16:42:31]', '[4.6148,3.4848,1.5599,4.2482,0.8659,1.5752]', '[-0.1650,-0.0525,-0.2083,0.1265,-0.1307,0.1268]', '[0.6391,-0.0824,-0.0704,0.2136,-0.0305,0.0795]')
('[2024-05-25 16:42:31]', '[4.5966,3.4804,1.5391,4.2612,0.8544,1.5881]', '[-0.1742,-0.0426,-0.2415,0.1194,-0.1099,0.1153]', '[0.6135,-0.7915,0.2416,0.1606,-0.0293,0.1029]')
('[2024-05-25 16:42:31]', '[4.5746,3.4744,1.5133,4.2802,0.8429,1.6011]', '[-0.2310,-0.0697,-0.2545,0.1623,-0.1154,0.1308]', '[0.7822,-0.2876,-0.5246,0.1287,-0.0664,0.1519]')
('[2024-05-25 16:42:31]', '[4.5521,3.4692,1.4846,4.2974,0.8354,1.6107]', '[-0.2205,-0.0536,-0.2968,0.2124,-0.0604,0.0959]', '[1.4929,-0.1883,-0.0597,0.2447,-0.1617,0.0935]')
('[2024-05-25 16:42:31]', '[4.5270,3.4626,1.4548,4.3174,0.8298,1.6196]', '[-0.2526,-0.0644,-0.3048,0.2122,-0.0402,0.0861]', '[0.6542,-1.1328,-0.0114,0.1828,-0.0745,0.1596]')
('[2024-05-25 16:42:31]', '[4.4990,3.4551,1.4210,4.3429,0.8286,1.6259]', '[-0.3115,-0.0823,-0.4209,0.2697,-0.0113,0.0287]', '[1.7890,-0.7997,1.2464,-0.1069,-0.1812,0.1420]')
('[2024-05-25 16:42:31]', '[4.4709,3.4493,1.3878,4.3657,0.8286,1.6285]', '[-0.3156,-0.0458,-0.3437,0.2252,-0.0000,0.0163]', '[1.5548,-0.3058,0.5422,0.0606,-0.0591,0.1504]')
('[2024-05-25 16:42:32]', '[4.4421,3.4435,1.3561,4.3872,0.8287,1.6287]', '[-0.2854,-0.0775,-0.3006,0.2393,-0.0000,-0.0113]', '[-0.0269,-1.0484,-0.5223,0.0720,0.0998,0.1368]')
('[2024-05-25 16:42:32]', '[4.4187,3.4403,1.3249,4.4070,0.8290,1.6282]', '[-0.2765,-0.0403,-0.3291,0.2148,0.0172,-0.0340]', '[1.8676,-0.4843,0.3469,0.1042,-0.0564,0.1134]')
('[2024-05-25 16:42:32]', '[4.3957,3.4370,1.2967,4.4251,0.8314,1.6251]', '[-0.2132,-0.0516,-0.2939,0.1612,0.0448,-0.0634]', '[1.0519,-0.5174,-0.5161,0.1874,0.0305,0.1419]')
('[2024-05-25 16:42:32]', '[4.3725,3.4322,1.2690,4.4428,0.8379,1.6193]', '[-0.2583,-0.0562,-0.2887,0.2379,0.1108,-0.0873]', '[1.6795,0.0919,0.0691,0.1487,-0.1081,0.1061]')
('[2024-05-25 16:42:32]', '[4.3202,3.4212,1.2032,4.4816,0.8564,1.5970]', '[-0.3077,-0.0695,-0.3697,0.2025,0.1666,-0.1612]', '[1.2343,-0.4506,-0.6959,0.4830,0.2395,0.2229]')
('[2024-05-25 16:42:32]', '[4.2894,3.4144,1.1681,4.5034,0.8719,1.5810]', '[-0.3955,-0.0742,-0.3581,0.2185,0.1709,-0.1676]', '[0.0630,-0.3322,-1.5482,0.2214,0.2874,0.1355]')
('[2024-05-25 16:42:32]', '[4.2546,3.4084,1.1286,4.5222,0.8905,1.5618]', '[-0.3852,-0.0847,-0.4746,0.2410,0.2379,-0.2412]', '[0.2328,-0.4651,-0.3751,0.1006,-0.0967,0.0584]')
('[2024-05-25 16:42:32]', '[4.2185,3.4027,1.0891,4.5385,0.9092,1.5419]', '[-0.3645,-0.0700,-0.3936,0.1539,0.1750,-0.1958]', '[0.2083,-0.3371,-0.1769,0.1811,0.2430,0.0432]')
('[2024-05-25 16:42:32]', '[4.1825,3.3965,1.0495,4.5553,0.9300,1.5211]', '[-0.4737,-0.0821,-0.5031,0.1737,0.2332,-0.2685]', '[1.4119,-0.5607,0.1142,0.2568,0.0582,0.0011]')
('[2024-05-25 16:42:33]', '[4.1414,3.3899,1.0049,4.5683,0.9538,1.4958]', '[-0.4961,-0.0600,-0.5370,0.0892,0.2364,-0.2883]', '[0.7038,-0.9543,0.8960,-0.1701,-0.1061,0.2620]')
('[2024-05-25 16:42:33]', '[4.0983,3.3833,0.9590,4.5785,0.9788,1.4673]', '[-0.4890,-0.0600,-0.4547,0.1086,0.3408,-0.3070]', '[-1.3290,-0.3891,-2.5448,0.5991,0.6889,0.3039]')
('[2024-05-25 16:42:33]', '[4.0539,3.3768,0.9116,4.5867,1.0047,1.4395]', '[-0.5513,-0.0955,-0.4470,0.0771,0.3566,-0.3129]', '[-0.3410,-1.1543,-0.7917,0.1115,0.0901,0.0931]')
('[2024-05-25 16:42:33]', '[4.0058,3.3676,0.8680,4.5932,1.0348,1.4073]', '[-0.5114,-0.1175,-0.3801,0.0462,0.3153,-0.4375]', '[-1.5946,-0.5412,-1.5979,0.4836,0.4627,0.1736]')
('[2024-05-25 16:42:33]', '[3.9591,3.3602,0.8344,4.5963,1.0633,1.3765]', '[-0.4956,-0.0768,-0.3371,0.0446,0.3359,-0.2758]', '[-1.1495,0.1196,-1.0299,0.0351,0.2319,-0.1097]')
('[2024-05-25 16:42:33]', '[3.9116,3.3542,0.8051,4.5979,1.0923,1.3459]', '[-0.4874,-0.0914,-0.3399,0.0000,0.3255,-0.2725]', '[-0.3927,-0.1413,-1.1262,-0.0023,0.3551,0.1347]')
('[2024-05-25 16:42:33]', '[3.8102,3.3392,0.7656,4.5980,1.1582,1.2796]', '[-0.5908,-0.0795,-0.1723,-0.0000,0.4065,-0.3759]', '[-0.1740,-0.6286,-0.2442,-0.1322,0.2091,0.1782]')
('[2024-05-25 16:42:33]', '[3.7556,3.3347,0.7500,4.5974,1.1961,1.2458]', '[-0.5249,-0.0399,-0.1551,-0.0437,0.4546,-0.4325]', '[0.5555,-0.1562,-0.5235,-0.0460,-0.0165,0.1373]')
('[2024-05-25 16:42:33]', '[3.6985,3.3336,0.7442,4.5933,1.2378,1.2092]', '[-0.5858,-0.0078,-0.0409,-0.0436,0.4604,-0.3773]', '[-0.3995,-0.8711,-1.9399,-0.0091,0.7585,0.0590]')
('[2024-05-25 16:42:34]', '[3.6413,3.3336,0.7417,4.5852,1.2790,1.1701]', '[-0.6562,-0.0000,-0.0078,-0.1108,0.3800,-0.3679]', '[-1.6062,-0.8792,-3.1000,0.5860,1.3537,-0.3173]')
('[2024-05-25 16:42:34]', '[3.5875,3.3350,0.7451,4.5734,1.3132,1.1292]', '[-0.6226,0.0261,0.0380,-0.1166,0.4012,-0.4176]', '[-4.2149,-0.1379,-9.6578,0.8400,2.1209,0.0183]')
('[2024-05-25 16:42:34]', '[3.5268,3.3394,0.7459,4.5621,1.3444,1.0860]', '[-0.5849,0.0366,0.0276,-0.1561,0.2005,-0.4755]', '[-2.0861,1.1255,-2.6527,0.0158,1.3469,0.0311]')
('[2024-05-25 16:42:34]', '[3.4695,3.3463,0.7519,4.5473,1.3620,1.0422]', '[-0.5389,0.0908,0.1066,-0.2040,0.1543,-0.5017]', '[-3.5296,-0.1443,-3.2181,-0.1302,1.8483,-0.3375]')
('[2024-05-25 16:42:34]', '[3.4154,3.3533,0.7595,4.5320,1.3731,0.9996]', '[-0.5285,0.0788,0.0670,-0.1296,0.1222,-0.5170]', '[-5.0361,0.2021,-5.8276,0.3733,2.4653,-0.4285]')
('[2024-05-25 16:42:34]', '[3.3679,3.3585,0.7675,4.5194,1.3740,0.9604]', '[-0.4614,0.0535,0.0658,-0.1118,0.0000,-0.4230]', '[-9.7858,0.3668,-11.6999,1.2360,4.1744,-0.6604]')
('[2024-05-25 16:42:34]', '[3.2772,3.3698,0.7839,4.4942,1.3750,0.8839]', '[-0.4493,0.0929,0.1248,-0.1600,-0.0113,-0.4270]', '[-16.2992,4.2990,-17.6735,2.9538,5.9750,-1.4805]')
('[2024-05-25 16:42:34]', '[3.2263,3.3819,0.7941,4.4808,1.3743,0.8456]', '[-0.5620,0.1473,0.0445,-0.1081,-0.0113,-0.5123]', '[-10.3467,0.1063,-6.1294,0.4641,3.5053,-0.4294]')
('[2024-05-25 16:42:34]', '[3.1825,3.3949,0.8068,4.4656,1.3701,0.7950]', '[-0.4399,0.1703,0.1099,-0.1876,-0.0688,-0.5543]', '[-13.4854,1.6293,-13.0658,0.9151,4.4322,-0.9165]')
('[2024-05-25 16:42:35]', '[3.1413,3.4111,0.8196,4.4474,1.3600,0.7462]', '[-0.5087,0.1523,0.0933,-0.1560,-0.0848,-0.4921]', '[-16.6070,7.6404,-14.2474,1.0390,5.0784,-1.5382]')
('[2024-05-25 16:42:35]', '[3.1012,3.4299,0.8324,4.4301,1.3502,0.6948]', '[-0.5189,0.2374,0.0924,-0.1660,-0.0636,-0.6025]', '[-14.3812,2.4124,-10.0375,-0.8625,4.4010,-1.4307]')
('[2024-05-25 16:42:35]', '[3.0595,3.4483,0.8458,4.4110,1.3391,0.6407]', '[-0.4482,0.2025,0.1686,-0.2001,-0.1629,-0.6240]', '[-16.3803,4.0495,-11.3390,-0.6729,4.4921,-1.9579]')
('[2024-05-25 16:42:35]', '[3.0181,3.4665,0.8605,4.3888,1.3247,0.5827]', '[-0.4646,0.2001,0.1414,-0.1833,-0.1192,-0.6695]', '[-13.8756,5.1380,-6.3833,-2.1869,3.1422,-1.1045]')
('[2024-05-25 16:42:35]', '[2.9688,3.4896,0.8730,4.3713,1.3133,0.5188]', '[-0.4806,0.2228,0.2057,-0.3498,-0.1898,-0.7654]', '[-4.3629,2.4047,0.0437,-2.6937,1.1804,-0.6490]')
('[2024-05-25 16:42:35]', '[2.9328,3.5096,0.8898,4.3513,1.2985,0.4559]', '[-0.3876,0.1656,0.1927,-0.2163,-0.1496,-0.6928]', '[-8.6708,3.1074,0.9407,-3.5179,1.2365,-0.6630]')
('[2024-05-25 16:42:35]', '[2.9047,3.5249,0.9028,4.3332,1.2891,0.3959]', '[-0.2784,0.1413,0.1435,-0.1799,-0.0852,-0.5972]', '[-9.0604,3.0491,-0.9716,-3.1680,1.4641,-0.5595]')
('[2024-05-25 16:42:35]', '[2.9047,3.5249,0.9028,4.3332,1.2891,0.3959]', '[-0.2784,0.1413,0.1435,-0.1799,-0.0852,-0.5972]', '[-9.0604,3.0491,-0.9716,-3.1680,1.4641,-0.5595]')
